,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981122i03.std,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981121i01.std,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981121i02.std,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981122i01.std,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981122i02.std,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981128i02.std,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981125i01.std,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981125i02.std,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981125i03.std,D:\SRFP Reference Materials\bhumika_taneja\data_NMS_I\19981128i01.std
11878.0,5597.0,2813.0,1875.0,4485.0,5453.0,2684.0,3190.0,3040.0,3166.0,2661.0
11917.0,3420.0,1655.0,1100.0,2785.0,3412.0,1679.0,1942.0,1896.0,1964.0,1711.0
11975.0,5240.0,2617.0,1760.0,4209.0,5129.0,2519.0,2974.0,2834.0,2956.0,2490.0
12043.0,2898.0,1391.0,906.0,2386.0,2926.0,1433.0,1648.0,1613.0,1666.0,1457.0
12101.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12157.0,4517.0,2237.0,1495.0,3649.0,4456.0,2178.0,2546.0,2446.0,2542.0,2181.0
12160.0,1145.0,458.0,280.0,1000.0,1234.0,596.0,686.0,683.0,681.0,627.0
12212.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12239.0,3745.0,1815.0,1203.0,3039.0,3732.0,1838.0,2129.0,2060.0,2134.0,1851.0
12295.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.0,47.0,42.0,-1.0
12469.0,6199.0,3135.0,2096.0,4928.0,5990.0,2947.0,3485.0,3353.0,3483.0,2939.0
12515.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12571.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12667.0,2456.0,1170.0,753.0,2038.0,2495.0,1224.0,1406.0,1379.0,1434.0,1242.0
12704.0,3499.0,1693.0,1124.0,2847.0,3492.0,1712.0,1987.0,1929.0,2005.0,1739.0
12708.0,1441.0,611.0,377.0,1233.0,1508.0,724.0,833.0,825.0,837.0,779.0
12860.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13004.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13027.0,1743.0,776.0,484.0,1482.0,1806.0,866.0,1001.0,993.0,1028.0,926.0
13474.0,2835.0,1363.0,889.0,2349.0,2879.0,1407.0,1611.0,1585.0,1640.0,1427.0
13646.0,3096.0,1490.0,979.0,2531.0,3089.0,1525.0,1750.0,1714.0,1782.0,1557.0
13701.0,2488.0,1185.0,758.0,2062.0,2533.0,1237.0,1422.0,1394.0,1449.0,1257.0
13744.0,5538.0,2782.0,1856.0,4444.0,5401.0,2658.0,3161.0,3004.0,3122.0,2637.0
13771.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14007.0,2848.0,1368.0,891.0,2357.0,2882.0,1413.0,1624.0,1591.0,1644.0,1435.0
14026.0,5016.0,2509.0,1677.0,4036.0,-1.0,2414.0,2849.0,2722.0,2825.0,2398.0
14100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14170.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14347.0,2748.0,1322.0,861.0,2273.0,2784.0,1369.0,1557.0,1544.0,1591.0,1383.0
14353.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14467.0,4765.0,2366.0,1572.0,3835.0,4672.0,2307.0,2683.0,2571.0,2680.0,2288.0
14606.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14689.0,-1.0,3742.0,2523.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14724.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14848.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14863.0,1944.0,894.0,566.0,1650.0,2002.0,980.0,1117.0,1113.0,1148.0,1023.0
14874.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15043.0,4942.0,2466.0,1646.0,3981.0,4844.0,2372.0,2792.0,2673.0,2777.0,2361.0
15109.0,974.0,369.0,229.0,887.0,1070.0,523.0,592.0,591.0,596.0,548.0
15148.0,4265.0,2099.0,1399.0,3431.0,4221.0,2072.0,2408.0,2325.0,2412.0,2073.0
15291.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15326.0,6133.0,3102.0,2072.0,4874.0,5930.0,2912.0,3456.0,3319.0,3441.0,2912.0
15534.0,832.0,-1.0,-1.0,771.0,920.0,447.0,499.0,506.0,504.0,461.0
15648.0,1093.0,-1.0,-1.0,957.0,1188.0,575.0,654.0,656.0,656.0,599.0
15755.0,4240.0,-1.0,-1.0,3420.0,4206.0,2063.0,2398.0,2309.0,2400.0,2062.0
15894.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
